Time (seconds),Sensor Data
0,28.96
2,0.2
4,0
6,0.95
8,4.66
10,0
12,3.03
14,0.7
16,0.54
18,0.71
20,7.63
22,3.18
24,0.46
26,0
28,0.29
30,2.26
32,0
34,2.58
36,2.89
38,5.25
40,4.69
42,1.62
44,0
46,0.22
48,0
50,23.74
52,11.52
54,0
56,5.69
58,11.01
60,10.81
62,0
64,19.59
66,8.97
68,6.17
70,5.16
72,8.27
74,5.22
76,0.32
78,1.99
80,0
82,0.42
84,1.51
86,1.77
88,1.24
90,0.01
92,14.66
94,10.04
96,0
98,6.08
100,0.29
102,1.75
104,2.11
106,0.7
108,1.53
110,0
112,0.79
114,0
116,3.24
118,1.66
120,0.39
122,0
124,0.52
126,0.16
128,0.06
130,0.67
132,0
134,3.11
136,1.34
138,2.16
140,1.17
142,4.58
144,4.69
146,0.4
148,0
150,2.68
152,3.87
154,4.69
156,0.02
158,0
160,0
162,1.36
164,0.31
166,0
168,4.53
170,0
172,0.12
174,0
176,0
178,0.43
180,0.18
182,0
184,1.68
186,0.13
188,0
190,0
192,0
194,3.04
196,0
198,0
200,0
202,0
204,0
206,0
208,0
210,0
212,0.19
214,0.17
216,0
218,0.21
220,0.58
222,3.57
224,0.27
226,2.61
228,2.4
230,1.97
232,4.24
234,3.7
236,0
238,1.48
240,6.67
242,0
244,0
246,0
248,0.01
250,7.8
252,2.78
254,0
256,0
258,0
260,0
262,0
264,0
266,2.58
268,0.15
270,0.01
272,0
274,0.27
276,0.61
278,0
280,0.01
282,0.31
284,0.61
286,0
288,0
290,0.08
292,0.22
294,0
296,0
298,0
300,0
,0.54
,0
,0
,13.92
,9.22
,5.68
,2.3
,4.4
,0.24
,7.5
,0
,0.23
,0.58
,0.55
,0
,0
,0
,0
,0
,0.25
,0.29
,0
,2.83
,0
,0
,0
,0
,2.58
,0
,0
,0
,0
,11.92
,8.99
,6.2
,0
,1.47
,0
,0
,1.12
,3.68
,5.58
,2.38
,0
,2.64
,0
,0
,0
,3.54
,0
,0.21
,3.91
,0
,0.54
,0
,0
,0
,7.74
,3.27
,0
,0
,0.48
,0
,0.09
,0
,0
,0
,3.82
,0
,1.86
,0
,0
,0.06
,0
,3.03
,0
,0
,0
,2.94
,0
,2.47
,0.15
,0
,11.18
,6.57
,7.99
,1.39
,3.05
,2.61
,1.2
,0.11
,0.49
,0
,0
,1.06
,0
,0
,2.92
,0.36
,0.22
,2.62
,0
,0
,0.16
,0
,2.86
,1.98
,0
,0
,0.8
,0
,0
,0.25
,0.22
,1.45
,0.3
,0
,0
,2.82
,4.66
,1.27
,2.78
,2.19
,0
,4.14
,0.08
,0
,0.12
,2.04
,0.08
,1.81
,0.28
,0
,2.36
,0
,0.89
,0
,0
,0
,0
,0.08
,2.1
,0
,0
,3.01
,0
,0.27
,0
,2.39
,0
,1.75
,0
,1.42
,0
,0
,0
,0
,0
,0
,4.65
,0
,0
,2.73
,0
,9.63
,21.42
,12.27
,7.26
,13
,10.53
,7.45
,15.89
,18.96
,10.23
,3.54
,7.9
,3.03
,1.55
,0.41
,2.46
,2.89
,1.05
,11.91
,9.08
,22.07
,8.31
,1.29
,2.97
,9.94
,0.75
,0.11
,0.7
,0
,0
,0.14
,0.26
,2.88
,0
,0
,0
,2.84
,0
,2.43
,0
,3.85
,2.82
,0
,0
,2.15
,0
,0
,0
,0
,0
,0.14
,0
,0
,0
,0
,0
,0.66
,0
,0
,0
,0
,0.34
,0
,0
,0.01
,22.85
,9.7
,7.5
,2.17
,1.05
,0
,0
,3.71
,0
,7.7
,0
,1.6
,0
,0.08
,1.8
,0
,0
,0
,0
,0
,0
,2.05
,1.57
,0
,1.68
,0.63
,0.18
,0
,0
,0
,3.09
,0
,0
,0.26
,0.02
,16.43
,8.29
,5.3
,0
,3.25
,0
,2.08
,0.15
,0
,0.63
,0
,2.65
,0
,0
,0
,0.59
,6.17
,0
,1.27
,0.05
,0.01
,0
,0.01
,6
,0
,1.82
,0
,0.04
,0
,0
,0
,0
,0.18
,0
,0
,2.73
,1.82
,0
,0
,0
,2.54
,2.47
,0
,0
,0
,0
,5.2
,0.09
,0
,0
,2.09
,0
,0
,0
,2.79
,0
,0
,1.49
,0
,0.14
,2.57
,0
,0
,0
,0
,0.3
,0.21
,0
,0
,0
,0
,2.78
,0
,0
,2.18
,0
,0
,0.15
,0
,0.17
,0.36
,0
,0
,2.23
,0.1
,0
,2.71
,0.02
,0
,2
,0
,0.8
,0
,0
,0
,0
,0
,0
,0
,2.7
,0.68
,0
,0
,0
,0
,0
,0
,0
,0.67
,0